table_schema,table_name
neon_auth,users_sync
public,media_types
public,neighborhoods
public,properties
public,property_feature_assignments
public,property_features
public,property_images
public,property_media
public,property_operation_statuses
public,property_statuses
public,property_types
public,user_saved_properties
